id,date,symptoms,nsymptoms,predict_prob,target,tweet,Pessoas,Covid,DT_Intervencao1,Construtos
"1,26379295187818E+018",2020-05-22 08:24:54,s28,1,"82,49%",1,"@esquerdacorra @jairbolsonaro A avó de um amigo passou pelo mesmo drama em SP e teve um fim trágico. Levaram-la para o Hospital Publico e lhe foi negado o medicamento, depois de 2 dias sentiu falta de ar, foi para a emergência e entubada. Faleceu.  Parece que na rede privada, não acontece isso. URGENTE.",amigos,sim,depois,6
"1,24028610851412E+018",2020-03-18 11:37:06,"s11, s29, s28",3,"89,93%",1,"@delucca Pessoas voltando pra casa sem o exame, com sintomas fortes. Minha amiga está em casa, com febre, dores no corpo e falta de ar. Não aceitaram no hospital particular, mandaram ficar em casa de repouso.",amigos,na,depois,36
"1,30415572279255E+018",2020-09-10 17:32:09,s55,1,"95,07%",1,"@mahideia @RLivre Mas tem muita gente com problema de garganta e tosse com a seca , aparece sinusite e tals.  Minha amiga estava crente que estava corongada, mas fez teste pcr e deu negativo",amigos,na,depois,3
"1,27109057834906E+018",2020-06-11 11:43:04,"s11, s29, s23",3,"72,62%",1,"Uma conhecida foi picada por um mosquito e começou a ter alguns sintomas, como febre e dor no corpo. Ao se dirigir ao hospital de Navegantes tentaram convencê-la que era COVID 19, mas quando ela contou sobre a picada, fizeram o teste e era: DENGUE!",amigos,na,depois,3
"1,25319671277827E+018",2020-04-23 02:39:14,"s11, s29, s30",3,"69,79%",1,"Isso no domingo. Na quarta feira a filha dela apresentou gripe..a filha dela fica com os avós paternos. E eles e a própria enfermeira ah, isso não é nada só uma.febre ""dessas de criança""",amigos,na,depois,0
"1,24133977349682E+018",2020-03-21 09:23:59,s28,1,"60,53%",1,"Um vizinho meu foi para o hospital com falta de ar , que ótimo ...",amigos,na,depois,3
"1,25354469720264E+018",2020-04-24 01:42:00,s28,1,"71,18%",1,"@luizamottalopes Ela diz que era! E não passava com o remédio... Já no hospital, ela ficou mais de 24 horas com falta de ar direto, nem no oxigênio melhorava",amigos,sim,depois,4
"1,24878468473938E+018",2020-04-10 22:27:24,s28,1,"85,01%",1,"@gugachacra Ainda tem as mortes indiretas:  Um conhecido meu passou mal hoje (10) e foi ao hospital com pressão alta. Devido o hospital cheio, mandaram ele ir embora, já que não apresentava falta de ar (caso mais grave da COVID-19). Em casa, ele teve um infarto e morreu.",amigos,sim,depois,46
"1,2516918619007E+018",2020-04-18 22:59:29,"s11, s29, s21, s28",4,"99,14%",1,"@QuebrandoOTabu A melhor amiga da minha mãe, trabalha com ela de caixa, o marido da moça morreu, um dia ele sentiu febre, falta de ar e dor de cabeça, no outro piorou foi pro hospital, no segundo dia morreu, exame saiu a duas semanas, covid confirmado",amigos,sim,depois,4
"1,2472975477707E+018",2020-04-06 19:58:03,s42,1,"50,64%",1,@tchulim Sim! Minha amiga foi atendida no Einstein mas fez todo o tratamento em casa mesmo estando com pneumonia e o médico monitorava ela por telefone. Mas eles disseram que teste é só pra quem interna,amigos,sim,depois,36
"1,24113083414233E+018",2020-03-20 19:33:44,"s11, s29, s28",3,"85,93%",1,"@carolnapolitano Ela foi ao hospital pq foi dispensada do trabalho e teve q pegar atestado pois estava gripada o médico não fez o teste ela não teve sintomas graves tipo febre e falta de ar ele passou remédio e falou q tinha q usar máscara, falei para ela não criar pânico e se cuidar.",amigos,na,depois,36
"1,26963747509972E+018",2020-06-07 11:28:57,s42,1,"83,53%",1,"@calixtrim Morre não, eu conheço um cara que teve corona e ele tava com princípio de pneumonia e ele é obeso, ficou uns 15 dias no hospital, já tá trabalhando ta safe vc é boribiuder",amigos,sim,depois,0
"1,24620203334815E+018",2020-04-03 19:24:52,s42,1,"85,95%",1,@nudeasthenews85 @cynaramenezes @ninalemos Na rede privada nao sai fazendo teste assim tb nao. Eu tenho uma amiga internada com covid...so fez o teste pq ja tava com pneumonia.,amigos,sim,depois,4
"1,32146577921744E+018",2020-10-28 11:56:08,s21,1,"61,27%",1,"Hoje deve ser o dia internacional da dor de cabeça. Tenho alunos em Portugal, Espanha e Argentina e todos cancelaram aula por estarem com dor de cabeça. Inclusive os daqui. Rs",amigos,na,na,3
"1,24587275560773E+018",2020-04-02 21:36:26,"s06, s30, s42",3,"83,91%",1,@Miltonneves Sou aqui d BH. Meu sogro uma semana antes d carnaval teve uma gripe forte. Teve todos os sintomas inclusive dificuldade p respirar e cansaco. Um amigo d servico dele teve o mesmo na mesma epoca que ele e precisou ser internado. Qual o diagnostico: pneumonia!!,amigos,sim,depois,4
"1,28082998708028E+018",2020-07-08 08:44:00,s29,1,"67,56%",1,"Bicho, eu já acordei PUTA. A rapariga da vizinha que tá com o marido internado com covid vem bater na minha porta DE NOVO pra pedir SACOLA. E minha mãe ainda atende essa QUENGA, que diz que tá sentindo febre há dois dias 🤬😤😭  https://t.co/nGhPvxcF7s",amigos,sim,depois,36
"1,28926654064326E+018",2020-07-31 15:27:51,s29,1,"88,79%",1,"@murilocarneiro Estão migos. Liguei lá e “só” estão de cama descansando.  Mas os sintomas são os mais leves (na minha visão), nada que precise ir no hospital. Só não sentem cheiro e gosto das coisas e também estão c febre.  @babidiiniz @biacarneiro_",amigos,sim,depois,3
"1,31793740800496E+018",2020-10-18 18:15:38,s42,1,"84,04%",1,"@vogadismo O coroa tava com pneumonia, e já tinha feito teste pra covid e deu negativo. Uma enfermeira que fazia corativo do pé do meu vizinho falou que ele tava tomando 1 remédio que era usado para covid. Ai ele achou que estava e começou a passar mal (infartou) ai minha vizinha me chamou",amigos,na,depois,46
"1,25168899022852E+018",2020-04-18 22:48:05,s28,1,"88,62%",1,"Gente.. a situação nossa é muito pior do que imaginamos... essa semana uma colega de trabalho se afastou pq está com sintomas de Covid, inclusive com falta de ar... ela foi em 2 clinicas e 3 upas... e quando finalmente atenderam ela, mesmo com os sintomas não fizeram o teste",amigos,sim,depois,46
